name,latitude,longitude,state,lga,care_level,category,functional_status
Gishili Health Center,11.8216145787,13.1471761076,Borno,Maiduguri,primary,Primary Health Center,Functional
Ghumtukum Medical Center,11.7980957,13.14227295,Borno,Maiduguri,primary,Medical Center,Functional
Ghung Dispensary,11.2254,13.78631,Borno,Gwoza,primary,Dispensary,Functional
Uba Bobo Health Post,10.4589969996,13.2138180004,Borno,Askira Uba,primary,Dispensary,Functional
Anguwan Banki Health Post,10.5439520003,11.6213300003,Borno,Bayo,primary,Dispensary,Functional
Jeki Kanakuri Dispensary,10.0669690002,11.9997120004,Borno,Shani,primary,Dispensary,Functional
Ngulde Primary Health Care,10.6323430004,12.5458080005,Borno,Askira Uba,primary,Primary Health Center,Functional
Shikarkir Dispensary,10.8027800002,12.7768000004,Borno,Chibok,primary,Dispensary,Functional
Mifa Health Post,10.8886899996,12.9037699997,Borno,Chibok,primary,Dispensary,Functional
Ajiri Clinic,11.8241400001,13.1555199998,Borno,Maiduguri,primary,Primary Health Center,Functional
Kurba Dispensary,10.4733740797,11.7770045664,Borno,Kwaya Kusar,primary,Dispensary,Functional
Hausari Idp Camp,11.14802,12.75244,Borno,Damboa,primary,Primary Health Center,Functional
Farm Center Idp Camp,11.82144,13.193,Borno,Jere,primary,Primary Health Center,Functional
Taimakon Jamaa Health Clinic,11.851025,13.17636,Borno,Jere,primary,Primary Health Center,Functional
Maska Health Clinic,12.1986,13.4277,Borno,Mafa,primary,Primary Health Center,Functional
Ramat Clinic,11.81027,13.14134,Borno,Maiduguri,primary,Primary Health Center,Functional
Acf Water Board Idp Camp Clinic,12.68298,13.61403,Borno,Monguno,primary,Primary Health Center,Functional
Icrc Ggss Idp Camp Clinic,12.67774,13.62142,Borno,Monguno,primary,Educational Clinic,Functional
Unicef Gdss Idp Camp Clinic,12.67311,13.60594,Borno,Monguno,primary,Primary Health Center,Functional
Unicef Ggss Idp Camp Clinic,12.67915,13.62165,Borno,Monguno,primary,Educational Clinic,Functional
Ndufu Health Clinic,12.2243933,14.2795647,Borno,Ngala,primary,Primary Health Center,Functional
Nursing Village Camp Clinic,11.83188,13.11913,Borno,Maiduguri,primary,Primary Health Center,Functional
Khadammari Health Clinic,11.94866,13.2265358,Borno,Jere,primary,Primary Health Center,Functional
Azaya Health Clinic,11.9543,13.3404,Borno,Mafa,primary,Primary Health Center,Functional
Kaza Health Clinic,12.04715,13.92301,Borno,Dikwa,primary,Primary Health Center,Functional
Mudu Health Clinic,12.03076,13.91656,Borno,Dikwa,primary,Primary Health Center,Functional
Gubio Road Idp Camp Clinic,12.27004,14.46768,Borno,Kala Balge,primary,Primary Health Center,Functional
National Primary Health Care Scheme,11.83074,13.14953,Borno,Maiduguri,primary,Primary Health Center,Functional
Lingir Health Clinic,12.6884468,13.5116891,Borno,Guzamala,primary,Primary Health Center,Functional
Madinatu Idp Camp Clinic,11.878165,13.17941,Borno,Jere,primary,Primary Health Center,Functional
Dille Dispensary,10.4453,13.136,Borno,Askira Uba,primary,Dispensary,Functional
Divine Health Clinic,11.80306,13.18611,Borno,Jere,primary,Primary Health Center,Functional
Ngurthavu Primary Health Center,10.77037167,13.27278167,Borno,Askira Uba,primary,Primary Health Center,Functional
Berum Dispensary,10.705321,11.899443,Borno,Biu,primary,Dispensary,Functional
Kopchi Dispensary,10.8677666,13.1609274,Borno,Damboa,primary,Dispensary,Functional
Kachallaburari Dispensary,11.15502,12.76073,Borno,Damboa,primary,Dispensary,Functional
Gudumbali General Hospital,12.941911,13.1795595,Borno,Guzamala,secondary,General Hospital,Functional
Gyarha Dispensary,10.62056,12.32694,Borno,Hawul,primary,Dispensary,Functional
Rann General Hospital,12.2681856,14.4659828,Borno,Kala Balge,secondary,General Hospital,Functional
Konduga Idp Camp Boarding Primary School Clinic,11.67584107,13.41097677,Borno,Konduga,primary,Educational Clinic,Functional
Kaijiya Dispensary,12.0838333,12.77393833,Borno,Magumeri,primary,Dispensary,Functional
Fuye Dispensary,12.2755074,14.17561225,Borno,Ngala,primary,Dispensary,Functional
